"","model","summit","direction","r.squared","adj.r.squared","sigma","statistic","p.value","df"
"1","Temp","SEN","E",0.688365372041114,0.688148658113465,1.79298581165315,3176.37809212176,0,1
"2","Temp","SEN","N",0.721548699627617,0.721294638222168,2.45005910504095,2840.05631769103,1.49706137959159e-306,1
"3","Temp","SEN","S",0.638567805531298,0.638397799795424,1.87064964837201,3756.15447471462,0,1
"4","Temp","SEN","W",0.718829255137255,0.718697001729512,1.618763502605,5435.24183914589,0,1
"5","Temp","SUN","E",0.556514386821167,0.556211459489761,2.51944489319812,1837.12174216044,9.16097221410234e-261,1
"6","Temp","SUN","N",0.787605290153691,0.787499092798768,1.85933213216386,7416.43038777764,0,1
"7","Temp","SUN","S",0.51134736104195,0.511109226227643,2.20630555283154,2147.30199164679,2.02566914794911e-321,1
"8","Temp","SUN","W",0.780250614502315,0.780147494190022,1.86484610526261,7566.41050776432,0,1
"9","Temp","YAT","E",0.764288489552988,0.764178086035214,1.85274163013244,6922.68240147078,0,1
"10","Temp","YAT","N",0.784726824399166,0.784625946622408,1.99057360814533,7778.98611192008,0,1
"11","Temp","YAT","S",0.736650438277239,0.736526683783948,1.74053360585545,5952.51468200365,0,1
"12","Temp","YAT","W",0.660800840279233,0.66064008238363,1.97166687539299,4110.53427767031,0,1
"13","Temp","JNJ","E",0.767250911247682,0.767151530765721,2.29642892272077,7720.33799906414,0,1
"14","Temp","JNJ","N",0.789379813256452,0.789273707368923,1.85055391252437,7439.54771639217,0,1
"15","Temp","JNJ","S",0.677859193017075,0.67775181274808,2.52019913306324,6312.69784817734,0,1
"16","Temp","JNJ","W",0.713609949523183,0.713494655622025,1.84174547284598,6189.48567404605,0,1
"17","Temp","DSH","E",0.777782727258749,0.777717789423349,1.9349215073008,11977.3429843978,0,1
"18","Temp","DSH","N",0.790692744192249,0.790609121636993,2.03651100958596,9455.49608911319,0,1
"19","Temp","DSH","S",0.688386519378993,0.688223028570693,2.29785584270381,4210.55181348888,0,1
"20","Temp","DSH","W",0.725302283452785,0.725207820689185,2.50654110814318,7678.18191862606,0,1
"21","Temp","TSW","E",0.798213558310451,0.79816322495009,1.80594243166135,15858.5390003056,0,1
"22","Temp","TSW","N",0.793862539261625,0.793811107759445,2.07495806962047,15435.3364301836,0,1
"23","Temp","TSW","S",0.714009325882021,0.713935158176078,1.86800452020113,9626.95713450187,0,1
"24","Temp","TSW","W",0.79370635147436,0.793639676086989,1.60590989600115,11904.0380981795,0,1
